[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-1, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:1, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157504, JMSType=, JMSXGroupID=null, JMSXMessageCounter=1, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-2, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:2, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157505, JMSType=, JMSXGroupID=null, JMSXMessageCounter=2, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-3, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:3, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157505, JMSType=, JMSXGroupID=null, JMSXMessageCounter=3, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-4, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:4, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157505, JMSType=, JMSXGroupID=null, JMSXMessageCounter=4, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-5, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:5, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157506, JMSType=, JMSXGroupID=null, JMSXMessageCounter=5, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-6, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:6, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157506, JMSType=, JMSXGroupID=null, JMSXMessageCounter=6, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-7, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:7, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157506, JMSType=, JMSXGroupID=null, JMSXMessageCounter=7, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-8, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:8, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157506, JMSType=, JMSXGroupID=null, JMSXMessageCounter=8, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-9, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:9, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157506, JMSType=, JMSXGroupID=null, JMSXMessageCounter=9, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-10, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:10, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157507, JMSType=, JMSXGroupID=null, JMSXMessageCounter=10, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-11, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:11, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157507, JMSType=, JMSXGroupID=null, JMSXMessageCounter=11, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-12, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:12, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157507, JMSType=, JMSXGroupID=null, JMSXMessageCounter=12, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-13, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:13, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157507, JMSType=, JMSXGroupID=null, JMSXMessageCounter=13, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-14, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:14, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157507, JMSType=, JMSXGroupID=null, JMSXMessageCounter=14, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-15, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:15, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157508, JMSType=, JMSXGroupID=null, JMSXMessageCounter=15, JMSXUserID=null}, body: Enter some text here for the message body...
[Camel (camel-1) thread #1 - JmsConsumer[minhaFila]] INFO route1 - Headers: {breadcrumbId=ID-Micro-PC-1527183001563-0-16, JMSCorrelationID=, JMSCorrelationIDAsBytes=null, JMSDeliveryMode=1, JMSDestination=queue://minhaFila, JMSExpiration=0, JMSMessageID=ID:Micro-PC-49862-1527182946762-4:1:1:1:16, JMSPriority=0, JMSRedelivered=false, JMSReplyTo=null, JMSTimestamp=1527183157508, JMSType=, JMSXGroupID=null, JMSXMessageCounter=16, JMSXUserID=null}, body: Enter some text here for the message body...
